Classement,Titre,Artiste,Image,Avis,Site,Region
61,let's love,david gu&ta and sia,"https://images-eu.ssl-images-amazon.com/images/i/91t7-vsivfl._ac_ul600_sr600,400_.jpg",4.8,amazon_fr,france
62,arcade,duncan laurence,"https://images-eu.ssl-images-amazon.com/images/i/612tr+7ktkl._ac_ul600_sr600,400_.jpg",4.3,amazon_fr,france
63,my head & my heart,ava ma&,"https://images-eu.ssl-images-amazon.com/images/i/71zjjs0mtal._ac_ul600_sr600,400_.jpg",4.6,amazon_fr,france
64,beggin' ,måneskin,"https://images-eu.ssl-images-amazon.com/images/i/81nbybgenal._ac_ul600_sr600,400_.jpg",4.7,amazon_fr,france
65,la kiffance ,naps,"https://images-eu.ssl-images-amazon.com/images/i/a1en8khnf7l._ac_ul600_sr600,400_.jpg",3.9,amazon_fr,france
66,un homme ,jérémy frerot,"https://images-eu.ssl-images-amazon.com/images/i/81-owz9tinl._ac_ul600_sr600,400_.jpg",4.9,amazon_fr,france
67,little bit of love,tom grennan,"https://images-eu.ssl-images-amazon.com/images/i/717px7lxl5l._ac_ul600_sr600,400_.jpg",5.0,amazon_fr,france
68,à la santé des gens que j'aime,patrick bruel,"https://images-eu.ssl-images-amazon.com/images/i/71wiohu6gxs._ac_ul600_sr600,400_.jpg",4.8,amazon_fr,france
69,je garde le sourire,keen'v,"https://images-eu.ssl-images-amazon.com/images/i/81xqigevnfl._ac_ul600_sr600,400_.jpg",4.9,amazon_fr,france
70,floating through space,sia & david gu&ta,"https://images-eu.ssl-images-amazon.com/images/i/61h6mio3vkl._ac_ul600_sr600,400_.jpg",4.8,amazon_fr,france
71,all i want for christmas is you,mariah carey,"https://images-eu.ssl-images-amazon.com/images/i/61u9-oerlvl._ac_ul600_sr600,400_.jpg",4.7,amazon_fr,france
72,si on disait,m. pokora & dadju,"https://images-eu.ssl-images-amazon.com/images/i/71stutozwgl._ac_ul600_sr600,400_.jpg",4.8,amazon_fr,france
73,la kiffance ,naps,"https://images-eu.ssl-images-amazon.com/images/i/71whuot7v3l._ac_ul600_sr600,400_.jpg",3.9,amazon_fr,france
74,i still have faith in you,abba,"https://images-eu.ssl-images-amazon.com/images/i/51yv4ywl25l._ac_ul600_sr600,400_.jpg",4.8,amazon_fr,france
75,save your tears ,the weeknd,"https://images-eu.ssl-images-amazon.com/images/i/81uq-u7llnl._ac_ul600_sr600,400_.jpg",4.8,amazon_fr,france
76,puisque tu pars,jean-jacques goldman,"https://images-eu.ssl-images-amazon.com/images/i/71zmbbaoqyl._ac_ul600_sr600,400_.jpg",4.8,amazon_fr,france
77,peaches  ,justin bieber & daniel caesar & giveon,"https://images-eu.ssl-images-amazon.com/images/i/81blfgdpyzl._ac_ul600_sr600,400_.jpg",4.4,amazon_fr,france
78,le coach ,soprano,"https://images-eu.ssl-images-amazon.com/images/i/917u-fvqmvl._ac_ul600_sr600,400_.jpg",4.7,amazon_fr,france
79,higher power,coldplay,"https://images-eu.ssl-images-amazon.com/images/i/a1-cgojmnes._ac_ul600_sr600,400_.jpg",4.8,amazon_fr,france
80,hypnotized,"purple disco machine, sophie and the giants","https://images-eu.ssl-images-amazon.com/images/i/71now6npxnl._ac_ul600_sr600,400_.jpg",4.9,amazon_fr,france
81,rather be you,tom gregory,"https://images-eu.ssl-images-amazon.com/images/i/81k5seaexdl._ac_ul300_sr300,200_.jpg",5.0,amazon_fr,france
82,all we got  ,robin schulz,"https://images-eu.ssl-images-amazon.com/images/i/81ngtcztvcl._ac_ul300_sr300,200_.jpg",4.9,amazon_fr,france
83,a un paso de la luna,ana mena & rocco hunt,"https://images-eu.ssl-images-amazon.com/images/i/81fmfulqyjl._ac_ul300_sr300,200_.jpg",5.0,amazon_fr,france
84,santé,stromae,"https://images-eu.ssl-images-amazon.com/images/i/611lc17rtrl._ac_ul300_sr300,200_.jpg",4.5,amazon_fr,france
85,jerusalema  ,master kg,"https://images-eu.ssl-images-amazon.com/images/i/81916e+f5cl._ac_ul300_sr300,200_.jpg",4.7,amazon_fr,france
86,la grenade,clara luciani,"https://images-eu.ssl-images-amazon.com/images/i/715ornrmojl._ac_ul300_sr300,200_.jpg",4.7,amazon_fr,france
87,hallelujah,jeff buckley,"https://images-eu.ssl-images-amazon.com/images/i/713vhcobmul._ac_ul300_sr300,200_.jpg",4.6,amazon_fr,france
88,waf,julien doré & simone & jean-marc,"https://images-eu.ssl-images-amazon.com/images/i/51qnuvcji7l._ac_ul300_sr300,200_.jpg",4.2,amazon_fr,france
89,bad habits,ed sheeran,"https://images-eu.ssl-images-amazon.com/images/i/a1nizejckul._ac_ul300_sr300,200_.jpg",4.5,amazon_fr,france
90,kiki,julien doré,"https://images-eu.ssl-images-amazon.com/images/i/51qnuvcji7l._ac_ul300_sr300,200_.jpg",4.2,amazon_fr,france
91,happy ,pharrell williams,"https://images-eu.ssl-images-amazon.com/images/i/81ms-me02ul._ac_ul300_sr300,200_.jpg",4.6,amazon_fr,france
92,blinding lights,the weeknd,"https://images-eu.ssl-images-amazon.com/images/i/81uq-u7llnl._ac_ul300_sr300,200_.jpg",4.8,amazon_fr,france
93,jusqu'ici tout va bien,maître gims,"https://images-eu.ssl-images-amazon.com/images/i/71or-4p5ptl._ac_ul300_sr300,200_.jpg",4.8,amazon_fr,france
94,back on my feet,kimberose,"https://images-eu.ssl-images-amazon.com/images/i/71wkkwj7yol._ac_ul300_sr300,200_.jpg",4.9,amazon_fr,france
95,bande organisée ,"kofs, soso maness, elams, jul, sch, naps, solda, houari, 13 organisé","https://images-eu.ssl-images-amazon.com/images/i/81zhvrya9pl._ac_ul300_sr300,200_.jpg",4.5,amazon_fr,france
96,danser encore,hk,"https://images-eu.ssl-images-amazon.com/images/i/71z8y6kjhgl._ac_ul300_sr300,200_.jpg",4.9,amazon_fr,france
97,levitating,dua lipa,"https://images-eu.ssl-images-amazon.com/images/i/91n2107xigl._ac_ul300_sr300,200_.jpg",4.7,amazon_fr,france
98,control,zoe wees,"https://images-eu.ssl-images-amazon.com/images/i/61-zsorycjl._ac_ul300_sr300,200_.jpg",4.8,amazon_fr,france
99,perfect,ed sheeran,"https://images-eu.ssl-images-amazon.com/images/i/b1tlpsy5bks._ac_ul300_sr300,200_.jpg",4.7,amazon_fr,france
100,"brésil, finistère",nolwenn leroy,"https://images-eu.ssl-images-amazon.com/images/i/81zgpy+9rbs._ac_ul300_sr300,200_.jpg",4.2,amazon_fr,france
1,la kiffance,naps,https://images.music-story.com/img/album_n/1688597-naps-la-kiffance.jpeg,nan,snep,france
2,petrouchka,soso maness,https://images.music-story.com/img/album_s/1702150-soso-maness-petrouchka.jpeg,nan,snep,france
3,tdb,oboy,https://images.music-story.com/img/album_o/1705799-oboy-tdb.jpeg,nan,snep,france
4,bande organisée,"kofs, soso maness, elams, jul, sch, naps, solda, houari, 13 organisée",https://images.music-story.com/img/album_/1662798--bande-organisee.jpeg,nan,snep,france
5,montero ,lil nas &,https://images.music-story.com/img/album_/1693053--montero-call-me-by-your-name.jpeg,nan,snep,france
6,save your tears,the weeknd,https://images.music-story.com/img/album_t/1644769-the-weeknd-after-hours7366.jpeg,nan,snep,france
7,le temps,tayc,https://images.music-story.com/img/album_t/1687595-tayc-fleur-froide-donum-novae.jpeg,nan,snep,france
8,fever,dua lipa,https://images.music-story.com/img/album_d/1673345-dua-lipa-fever.jpeg,nan,snep,france
9,la seleçao,alonzo,https://images.music-story.com/img/album_a/1692883-alonzo-capo-dei-capi-vol-ii-iii.jpeg,nan,snep,france
10,mona lisa,booba,https://images.music-story.com/img/album_b/1689613-booba-mona-lisa.jpeg,nan,snep,france
11,love nwantiti,ckay,https://images.music-story.com/img/album_/1714386--love-nwantiti-ah-ah-ah-feat-joeboy-kuami-eugene-remix.jpeg,nan,snep,france
12,haine&sex,gazo,https://images.music-story.com/img/album_/1688600--drill-fr1419.jpeg,nan,snep,france
13,daddy chocolat,koba lad,https://images.music-story.com/img/album_k/1704458-koba-lad-cartel-volume-1.jpeg,nan,snep,france
14,bad habits,ed sheeran,https://images.music-story.com/img/album_e/1704999-ed-sheeran-bad-habits.jpeg,nan,snep,france
15,blinding lights,the weeknd,https://images.music-story.com/img/album_t/1631932-the-weeknd-blinding-lights.jpeg,nan,snep,france
16,vroum vroum,moha k,https://images.music-story.com/img/album_/1692882--vroum-vroum.jpeg,nan,snep,france
17,stay,the kid laroi,https://images.music-story.com/img/album_/1706758--stay.jpeg,nan,snep,france
18,mon poto,kore & ninho,https://images.music-story.com/img/album_k/1690681-kore-mon-poto.jpeg,nan,snep,france
19,eté 90,therapie ta&i,https://images.music-story.com/img/album_t/1681594-therapie-taxi-rupture-2-merde.jpeg,nan,snep,france
20,levitating ,dua lipa,https://images.music-story.com/img/album_d/1668352-dua-lipa-levitating-feat-dababy.jpg,nan,snep,france
21,goosebumps ,travis scott & hvme,https://images.music-story.com/img/album_t/1683024-travis-scott-goosebumps-remix.jpeg,nan,snep,france
22,tout en gucci,ninho,https://images.music-story.com/img/album_n/1643524-ninho-m-i-l-s-38084.jpeg,nan,snep,france
23,girl like me,black eyed peas,https://images.music-story.com/img/album_t/1655502-the-black-eyed-peas-translation.jpeg,nan,snep,france
24,never going home,kungs,https://images.music-story.com/img/album_k/1700266-kungs-never-going-home.jpeg,nan,snep,france
25,mode akimbo ,sch,https://images.music-story.com/img/album_s/1692216-sch-jvlivs-ii.jpeg,nan,snep,france
26,industry baby,lil nas &,https://images.music-story.com/img/album_/1708808--industry-baby.jpeg,nan,snep,france
27,peaches,justin bieber,https://images.music-story.com/img/album_j/1694253-justin-bieber-justice.jpeg,nan,snep,france
28,"1,2,3",amel bent,https://images.music-story.com/img/album_a/1673350-amel-bent-1-2-3.jpeg,nan,snep,france
29,"pic et pic, alcool et drame",jul,https://images.music-story.com/img/album_j/1705053-jul-demain-ca-ira.jpeg,nan,snep,france
30,dákiti,bad bunny & jhay cortez,https://images.music-story.com/img/album_b/1673379-bad-bunny-dakiti.jpeg,nan,snep,france
31,la danse des bandits,naps,https://images.music-story.com/img/album_n/1694168-naps-les-mains-faites-pour-l-or.jpeg,nan,snep,france
32,pepas,farruko,https://images.music-story.com/img/album_f/1706185-farruko-pepas.jpeg,nan,snep,france
33,a un paso de la luna,reik & rocco hunt & ana mena,https://images.music-story.com/img/album_r/1693925-reik-a-un-paso-de-la-luna.jpg,nan,snep,france
34,friday,riton,https://images.music-story.com/img/album_r/1682231-riton-friday-dopamine-re-edit.jpeg,nan,snep,france
35,love tonight,shouse,https://images.music-story.com/img/album_/1665503--love-tonight.jpg,nan,snep,france
36,dance monkey,tones and i,https://images.music-story.com/img/album_/1617355--dance-monkey.jpeg,nan,snep,france
37,jerusalema ,master kg,https://images.music-story.com/img/album_/1659065--jerusalema-feat-nomcebo-zikode.jpg,nan,snep,france
38,casanova,were vana,https://images.music-story.com/img/album_w/1673956-were-vana-casanova.jpeg,nan,snep,france
39,beggin',måneskin,https://images.music-story.com/img/album_m/1584289-maneskin-chosen.jpeg,nan,snep,france
40,?. morose,damso,https://images.music-story.com/img/album_d/1666533-damso-qalf.jpeg,nan,snep,france
41,mon soleil,dadju & anitta,https://images.music-story.com/img/album_d/1702157-dadju-mon-soleil.jpeg,nan,snep,france
42,iko iko,justin wellington,https://images.music-story.com/img/album_j/1692392-justin-wellington-iko-iko.jpeg,nan,snep,france
43,médusa,landy,https://images.music-story.com/img/album_l/1679509-landy-a-one.jpeg,nan,snep,france
44,la vie qu on mene,ninho,https://images.music-story.com/img/album_n/1608873-ninho-destin.jpeg,nan,snep,france
45,cœur noir,eva,https://images.music-story.com/img/album_e/1677529-eva-2-feed-collector.jpeg,nan,snep,france
46,afro trap part. 11 ,mhd,https://images.music-story.com/img/album_m/1701201-mhd-afro-trap-part-11-king-kong.jpeg,nan,snep,france
47,ani kuni,polo & pan,https://images.music-story.com/img/album_p/1698670-polo-pan-ani-kuni.jpeg,nan,snep,france
48,beau-papa,vianney,https://images.music-story.com/img/album_v/1663513-vianney-beau-papa.jpeg,nan,snep,france
49,cabeza,oboy,https://images.music-story.com/img/album_o/1658227-oboy-mafana.jpeg,nan,snep,france
50,jolie madame,joé dwèt filé,https://images.music-story.com/img/album_j/1694684-joe-dwet-file-jolie-madame.jpeg,nan,snep,france
51,pilote,plk,https://images.music-story.com/img/album_p/1664344-plk-enna.jpeg,nan,snep,france
52,wasted love ,ofenbach,https://images.music-story.com/img/album_o/1681323-ofenbach-wasted-love.jpeg,nan,snep,france
53,mood,24kgoldn,https://images.music-story.com/img/album_/1662823--mood.jpeg,nan,snep,france
54,joli bébé,naza & niska,https://images.music-story.com/img/album_n/1664979-naza-joli-bebe.jpeg,nan,snep,france
55,champion,serge ibaka / ninho,https://images.music-story.com/img/album_/1688599--champion.jpeg,nan,snep,france
56,kiss me more,doja cat,https://images.music-story.com/img/album_d/1694761-doja-cat-kiss-me-more.jpeg,nan,snep,france
57,marché noir,sch,https://images.music-story.com/img/album_s/1684994-sch-marche-noir.jpeg,nan,snep,france
58,memories ,david gu&ta,https://images.music-story.com/img/album_d/david-guetta-memories-single.jpg,nan,snep,france
59,bobo,aya nakamura,https://images.music-story.com/img/album_a/1701098-aya-nakamura-bobo.jpeg,nan,snep,france
60,cold heart,"elton john, dua lipa",https://images.music-story.com/img/album_e/1711452-elton-john-cold-heart.jpeg,nan,snep,france
61,alors la zone,jul,https://images.music-story.com/img/album_j/1703416-jul-alors-la-zone.jpeg,nan,snep,france
62,à cœur ouvert,djadja & dinaz,https://images.music-story.com/img/album_d/1687619-djadja-dinaz-a-coeur-ouvert.jpeg,nan,snep,france
63,mother fuck,"jul, sch",https://images.music-story.com/img/album_j/1678510-jul-mother-fuck.jpeg,nan,snep,france
64,millions,"no limit, orelsan, ninho",https://images.music-story.com/img/album_n/1703997-ninho-millions.jpeg,nan,snep,france
65,woman,doja cat,https://images.music-story.com/img/album_d/1704939-doja-cat-planet-her.jpeg,nan,snep,france
66,arcade,duncan laurence,https://images.music-story.com/img/album_/-worlds-on-fire.jpg,nan,snep,france
67,rasputin,boney m.,https://images.music-story.com/img/album_b/boney-m-nightflight-to-venus.jpg,nan,snep,france
68,mais je t'aime,grand corps malade,https://images.music-story.com/img/album_g/1656154-grand-corps-malade-mais-je-t-aime.jpeg,nan,snep,france
69,del mar,"ozuna, doja cat & sia",https://images.music-story.com/img/album_o/1665235-ozuna-enoc.jpeg,nan,snep,france
70,kassav,gazo,https://images.music-story.com/img/album_/1682143--kassav.jpeg,nan,snep,france
71,follow you,imagine dragons,https://images.music-story.com/img/album_i/1690765-imagine-dragons-follow-you-cutthroat.jpeg,nan,snep,france
72,derrière le brouillard,grand corps malade,https://images.music-story.com/img/album_g/1665684-grand-corps-malade-mesdames9359.jpeg,nan,snep,france
73,je t’aime de ouf,wejdene,https://images.music-story.com/img/album_/1694167--16-ou-pas.jpeg,nan,snep,france
74,drivers license,olivia rodrigo,https://images.music-story.com/img/album_o/1681553-olivia-rodrigo-drivers-license.jpeg,nan,snep,france
75,cover me in sunshine,willow sage hart,https://images.music-story.com/img/album_p/1685667-pnk-cover-me-in-sunshine.jpeg,nan,snep,france
76,le reste,clara luciani,https://images.music-story.com/img/album_c/1694678-clara-luciani-le-reste.jpeg,nan,snep,france
77,bebeto,kendji girac,https://images.music-story.com/img/album_k/1668847-kendji-girac-mi-vida.jpeg,nan,snep,france
78,best life,naps,https://images.music-story.com/img/album_n/1718316-naps-best-life.jpeg,nan,snep,france
79,astronaut in the ocean ,masked wolf,https://images.music-story.com/img/album_m/1698281-masked-wolf-astronaut-in-the-ocean-remix.jpg,nan,snep,france
80,gasolina ,horn& la frappe,https://images.music-story.com/img/album_h/1714064-hornet-la-frappe-toujours-nous-memes.jpeg,nan,snep,france
81,bimbo,marwa loud,https://images.music-story.com/img/album_m/1701086-marwa-loud-bimbo.jpeg,nan,snep,france
82,roses,saint jhn,https://images.music-story.com/img/album_/1625706--roses-imanbek-remix.jpeg,nan,snep,france
83,elles ont trop joué avec mon cœur,jok'air,https://images.music-story.com/img/album_j/1678422-jokair-vie-republique.jpeg,nan,snep,france
84,heat waves,glass animals,https://images.music-story.com/img/album_g/1657961-glass-animals-heat-waves.jpeg,nan,snep,france
85,beautiful mistakes,maroon 5,https://images.music-story.com/img/album_m/1689690-maroon-5-beautiful-mistakes.jpeg,nan,snep,france
86,jefe,ninho,https://images.music-story.com/img/album_n/1726152-ninho-jefe.jpeg,nan,snep,france
87,watermelon sugar,harry styles,https://images.music-story.com/img/album_h/1631104-harry-styles-watermelon-sugar.jpeg,nan,snep,france
88,love again,dua lipa,https://images.music-story.com/img/album_d/1686012-dua-lipa-future-nostalgia9083.jpeg,nan,snep,france
89,another love,tom odell,https://images.music-story.com/img/album_t/461123-tom-odell-songs-from-another-love.jpeg,nan,snep,france
90,911,damso,https://images.music-story.com/img/album_d/1666533-damso-qalf.jpeg,nan,snep,france
91,leave the door open,bruno mars/anderson .paak/silk sonic,https://images.music-story.com/img/album_/1690944--leave-the-door-open.jpg,nan,snep,france
92,good 4 u,olivia rodrigo,https://images.music-story.com/img/album_o/1699356-olivia-rodrigo-good-4-u.jpeg,nan,snep,france
93,bansky,h magnum,https://images.music-story.com/img/album_h/1717857-h-magnum-bansky.jpeg,nan,snep,france
94,dieu merci,dadju,https://images.music-story.com/img/album_d/1695502-dadju-poison-ou-antidote-edition-miel-book.jpeg,nan,snep,france
95,mannschaft ,sch,https://images.music-story.com/img/album_s/1692216-sch-jvlivs-ii.jpeg,nan,snep,france
96,ratpi world,booba,https://images.music-story.com/img/album_b/1683728-booba-ratpi-world.jpeg,nan,snep,france
97,whoopty,cj,https://images.music-story.com/img/album_/1672956--whoopty.jpeg,nan,snep,france
98,easy on me,adele,https://images.music-story.com/img/album_a/1719810-adele-easy-on-me.jpeg,nan,snep,france
99,coffre plein,koba lad,https://images.music-story.com/img/album_k/1670785-koba-lad-coffre-plein.jpeg,nan,snep,france
100,angela,hatik,https://images.music-story.com/img/album_/1654955--chaise-pliante.jpeg,nan,snep,france
1,easy on me,adele,"https://images-na.ssl-images-amazon.com/images/i/71tyun+y8il._ac_ul600_sr600,400_.jpg",4.8,amazon_com,monde
2,shivers,ed sheeran,"https://images-na.ssl-images-amazon.com/images/i/a1nizejckul._ac_ul600_sr600,400_.jpg",4.9,amazon_com,monde
3,somewhere over the rainbow/what a wonderful world,israel kamakawiwo'ole,"https://images-na.ssl-images-amazon.com/images/i/811vo-4achl._ac_ul600_sr600,400_.jpg",4.9,amazon_com,monde
4,cold heart ,elton john & dua lipa,"https://images-na.ssl-images-amazon.com/images/i/71yjgszeftl._ac_ul600_sr600,400_.jpg",4.9,amazon_com,monde
5,over the rainbow,israel kamakawiwo'ole,"https://images-na.ssl-images-amazon.com/images/i/71dippn9mwl._ac_ul600_sr600,400_.jpg",4.9,amazon_com,monde
6,leave a trace,alina smolina,"https://images-na.ssl-images-amazon.com/images/i/916abd5-x9l._ac_ul600_sr600,400_.jpg",nan,amazon_com,monde
